Order ID,Customer ID,Product ID,Region,Sale Price/Unit,Quantity,Total Amount,Payment Method,Delivery Status,Fulfillment Partner,Order Date,Delivery Date,Cancel Date,is cancel,Product Category,Average Delivery Time ,Customer Name,Delivery Performance,PRODUCT NAME
ORD0001,CUST021,PROD012,North,44,1,44,Apple Pay,Cancelled,DHL,2023-12-31,,2024-01-02,YES,Home,NA,Zoe Mitchell,NA,Lamp
ORD0002,CUST029,PROD018,East,96,4,384,Credit Card,Delivered,DHL,2023-02-22,2023-02-24,,NO,Toys,2,Ava White,Fast,Doll House
ORD0003,CUST021,PROD013,South,194,4,776,Credit Card,In Transit,USPS,2023-10-11,,,NO,Home,NA,Zoe Mitchell,NA,Vacuum Cleaner
ORD0004,CUST044,PROD013,North,196,3,588,PayPal,Cancelled,UPS,2023-05-05,,2023-05-11,YES,Home,NA,Grace Ward,NA,Vacuum Cleaner
ORD0005,CUST027,PROD010,North,59,1,59,PayPal,Delivered,Amazon Logistics,2023-02-02,2023-02-05,,NO,Fashion,3,Hazel Brooks,Slow,Jeans
ORD0006,CUST009,PROD010,North,58,4,232,Amazon Pay,Cancelled,DHL,2023-11-01,,2023-11-02,YES,Fashion,NA,Jackson Allen,NA,Jeans
ORD0007,CUST042,PROD020,Central,105,3,315,Debit Card,Cancelled,DHL,2023-08-14,,2023-08-18,YES,Electronics,NA,Noah Wilson,NA,Bluetooth Speaker
ORD0008,CUST019,PROD021,West,37,5,185,PayPal,Cancelled,DHL,2023-04-01,,2023-04-06,YES,Home,NA,Ava Robinson,NA,Wall Clock
ORD0009,CUST013,PROD019,Central,44,2,88,Credit Card,In Transit,Amazon Logistics,2023-07-21,,,NO,Fashion,NA,Olivia Martinez,NA,Formal Shirt
ORD0010,CUST019,PROD003,South,141,4,564,Debit Card,In Transit,DHL,2023-12-29,,,NO,Home,NA,Ava Robinson,NA,Cookware Set
ORD0011,CUST046,PROD014,South,249,1,249,Amazon Pay,Cancelled,USPS,2023-05-04,,2023-05-08,YES,Electronics,NA,Emily Johnson,NA,Smartwatch
ORD0012,CUST045,PROD014,Central,247,3,741,Amazon Pay,In Transit,FedEx,2023-07-25,,,NO,Electronics,NA,Emily Johnson,NA,Smartwatch
ORD0013,CUST023,PROD006,Central,96,1,96,Apple Pay,Cancelled,Amazon Logistics,2023-02-25,,2023-02-28,YES,Fashion,NA,Charlotte Reed,NA,Shoes
ORD0014,CUST033,PROD017,West,74,5,370,Apple Pay,Cancelled,Amazon Logistics,2023-02-24,,2023-02-25,YES,Electronics,NA,Hazel Rivera,NA,Gaming Mouse
ORD0015,CUST033,PROD005,South,27,1,27,Credit Card,Cancelled,Amazon Logistics,2023-08-26,,2023-09-02,YES,Fashion,NA,Hazel Rivera,NA,T-Shirt
ORD0016,CUST047,PROD005,South,27,3,81,Debit Card,In Transit,Amazon Logistics,2023-02-13,,,NO,Fashion,NA,Scarlett Murphy,NA,T-Shirt
ORD0017,CUST045,PROD015,East,21,3,63,Credit Card,Delivered,DHL,2023-06-28,2023-07-01,,NO,Books,3,Emily Johnson,Slow,Novel
ORD0018,CUST011,PROD008,West,70,5,350,PayPal,In Transit,Amazon Logistics,2023-11-28,,,NO,Books,NA,Mason Hall,NA,Textbook
ORD0019,CUST041,PROD006,South,94,4,376,Credit Card,In Transit,USPS,2023-08-25,,,NO,Fashion,NA,Jacob Price,NA,Shoes
ORD0020,CUST025,PROD001,North,813,2,1626,Credit Card,In Transit,FedEx,2023-04-12,,,NO,Electronics,NA,Emma King,NA,Smartphone
ORD0021,CUST013,PROD015,Central,21,4,84,PayPal,In Transit,Amazon Logistics,2023-10-02,,,NO,Books,NA,Olivia Martinez,NA,Novel
ORD0022,CUST023,PROD012,West,46,5,230,PayPal,In Transit,USPS,2023-11-09,,,NO,Home,NA,Charlotte Reed,NA,Lamp
